par1,par2,par3,par4,par5,par6,par7,par8,par9,weather
99,6,201192.0,30,0,5033.0,120,4,41749.0,1
99,6,201007.0,30,0,5035.0,120,4,41674.0,1
99,6,201087.0,30,0,5049.0,120,4,41651.0,1
99,6,201303.0,30,0,4935.0,120,4,41573.0,1
99,6,201305.0,30,0,5034.0,120,4,41365.0,1
99,6,201580.0,30,0,4939.0,120,4,41527.0,1
99,6,201496.0,30,0,5027.0,120,4,41641.0,1
99,6,201670.0,30,0,4954.0,120,4,41634.0,1
99,6,201624.0,30,0,4991.0,120,4,41738.0,1
99,6,201815.0,30,0,4914.0,120,4,41706.0,1
99,6,201628.0,30,0,5002.0,120,4,41803.0,1
99,6,201710.0,30,0,4936.0,120,4,41696.0,1
99,6,201637.0,30,0,5028.0,120,4,41697.0,1
99,6,201717.0,30,0,4901.0,120,4,41583.0,1
99,6,201422.0,31,0,5008.0,120,4,41429.0,1
99,6,201124.0,31,0,5117.0,120,4,40933.0,1
99,6,200497.0,33,0,5550.0,120,4,39582.0,1
99,6,198772.0,38,0,4820.0,119,4,40381.0,1
99,6,201830.0,30,0,4985.0,120,4,41775.0,1
99,6,201870.0,30,0,4906.0,120,4,41721.0,1
99,6,201766.0,30,0,4996.0,120,4,41776.0,1
99,6,201851.0,30,0,4921.0,120,4,41725.0,1
99,6,201767.0,30,0,5008.0,120,4,41756.0,1
99,6,201863.0,30,0,4930.0,120,4,41701.0,1
99,6,201745.0,30,0,5021.0,120,4,41725.0,1
99,6,201915.0,30,0,4933.0,120,4,41684.0,1
99,6,208300.0,31,0,4819.0,120,4,42523.0,1
99,6,204828.0,31,0,5392.0,119,4,27391.0,1
100,6,199419.0,26,0,4290.0,121,4,70712.0,1
95,6,182103.0,31,0,4701.0,111,4,52353.0,1
96,6,186311.0,32,0,5785.0,114,4,46593.0,1
92,6,176461.0,37,0,6183.0,111,4,65380.0,1
96,6,193489.0,37,0,6010.0,111,4,16339.0,1
96,6,191112.0,32,0,3520.0,114,4,34435.0,1
94,5,210647.0,33,0,4532.0,111,4,29854.0,1
95,6,191229.0,33,0,6834.0,114,4,78742.0,1
96,6,193438.0,35,0,9370.0,108,4,26790.0,1
95,6,187779.0,29,0,6958.0,106,4,36050.0,1
98,6,192607.0,29,0,8323.0,113,4,46699.0,1
96,6,183596.0,31,0,8083.0,108,4,36952.0,1
93,6,168700.0,39,0,15205.0,97,4,55966.0,1
90,6,167417.0,34,0,5944.0,102,4,37012.0,1
91,6,162931.0,35,0,6764.0,103,4,38967.0,1
92,6,171347.0,38,0,12054.0,101,4,25970.0,1
90,6,173046.0,67,0,19029.0,83,4,15738.0,1
89,5,201597.0,95,0,25798.0,71,1,6598.0,1
91,5,212549.0,92,0,29830.0,72,1,6783.0,1
91,5,209910.0,84,0,28356.0,75,1,7283.0,1
